record_id,incident_date,year,month,city_municipality,barangay,latitude,longitude,flood_risk_level,flood_depth_meters,flood_category,flood_duration_hours,rainfall_mm,weather_condition,typhoon_name,typhoon_alert_level,affected_population,affected_families,evacuees,evacuation_center,fatalities,injuries,estimated_damage_php,infrastructure_damaged,relief_goods_distributed,response_time_hours,data_source
605,2009-04-25,2009,April,Parañaque,Baclaran,14.5227,120.9974,High,2.64,House-roof level,68,296.6,Heavy Rain,Ursula,Signal No. 2,5061,1337,683,BF Homes Covered Court,3,23,15709068,Bridges and Roads,No,21.0,PAGASA
606,2009-05-20,2009,May,Las Piñas,Almanza Dos,14.4616,120.98129999999999,Moderate,1.16,Chest-deep,33,144.3,Heavy Rain,Nonoy,Signal No. 1,4669,861,420,Almanza Elementary School,0,11,3547554,Bridges and Roads,Yes,4.4,LGU Report
607,2005-02-05,2005,February,Las Piñas,Pulang Lupa Dos,14.4681,120.9766,Moderate,0.15,Knee-deep,29,244.9,Monsoon Rains,None (Monsoon),None,4256,833,214,Almanza Elementary School,0,1,331021,None,No,12.8,DSWD
608,2016-09-01,2016,September,Muntinlupa,Tunasan,14.3883,121.0309,Moderate,0.89,Waist-deep,12,371.1,Scattered Showers,None (Monsoon),None,1359,279,88,Alabang Covered Court,0,4,1746798,None,Yes,4.4,LGU Report
609,2000-06-09,2000,June,Muntinlupa,Alabang,14.4253,121.0414,Low,0.19,Knee-deep,3,52.2,Continuous Rain,None (Monsoon),None,1431,260,41,Alabang Covered Court,0,0,428352,Roads and Homes,Yes,2.1,DSWD
610,2010-02-20,2010,February,Taguig,Ususan,14.5092,121.0628,High,1.23,Chest-deep,7,414.6,Scattered Showers,Ursula,Signal No. 3,7801,1917,954,Pinagsama Covered Court,0,4,15565618,Bridges and Roads,Yes,2.9,MMDA
611,2012-07-23,2012,July,Taguig,Pinagsama,14.5251,121.0599,Moderate,0.35,Knee-deep,38,307.9,Monsoon Rains,Quedan,Signal No. 3,1038,228,46,Pinagsama Covered Court,0,1,303791,Roads,Yes,3.9,LGU Report
612,2000-01-05,2000,January,Taguig,Lower Bicutan,14.513800000000002,121.05420000000001,Moderate,0.55,Waist-deep,5,315.9,Continuous Rain,Kiko,Signal No. 1,1322,301,120,Pinagsama Covered Court,0,3,1488983,Bridges and Roads,No,13.0,DSWD
613,2009-08-05,2009,August,Malabon,Longos,14.6639,120.9583,Very High,4.32,House-roof level,83,226.7,Scattered Showers,None (Monsoon),None,6027,1377,1162,Malabon City Hall Covered Court,0,22,22288009,None,No,17.6,MMDA
614,2008-07-26,2008,July,Malabon,Panghulo,14.6668,120.9576,Very High,2.03,House-roof level,57,226.8,Scattered Showers,Ondoy,Signal No. 3,7844,2227,2935,Malabon City Hall Covered Court,0,8,23973939,None,No,15.6,LGU Report
615,2001-12-20,2001,December,Malabon,Tañong,14.6594,120.9564,Very High,4.48,House-roof level,76,379.3,Typhoon,None (Monsoon),None,2446,449,825,Malabon National High School,0,30,21914757,Roads,Yes,9.2,DSWD
616,2006-11-14,2006,November,Malabon,Catmon,14.6609,120.9542,Very High,3.32,House-roof level,57,383.6,Scattered Showers,Nonoy,Signal No. 1,7334,2000,2972,Malabon City Hall Covered Court,0,12,44076596,None,No,21.6,MMDA
617,2016-06-05,2016,June,Malabon,Hulong Duhat,14.6611,120.9558,High,1.69,Neck-deep,91,74.6,Scattered Showers,Kiko,Signal No. 2,3502,724,600,Malabon City Hall Covered Court,0,1,6220518,Bridges,Yes,7.8,DSWD
618,2015-09-24,2015,September,Malabon,Acacia,14.6652,120.9572,High,0.62,Waist-deep,65,422.1,Heavy Rain,Ulysses,Signal No. 2,4854,1321,1281,Longos Elementary School,0,2,5062839,Roads,Yes,15.5,LGU Report
619,2003-08-24,2003,August,Navotas,Bangculasi,14.661299999999999,120.9412,Very High,4.01,House-roof level,75,410.6,Scattered Showers,Ursula,Signal No. 2,2721,568,1091,Navotas Sports Complex,0,17,8520041,Bridges,No,21.3,MMDA
620,2013-03-25,2013,March,Navotas,Daanghari,14.6598,120.94409999999999,Very High,1.54,Neck-deep,124,195.4,Monsoon Rains,None (Monsoon),None,2367,562,420,North Bay Blvd Evacuation Center,0,5,2090372,Bridges and Roads,Yes,23.9,LGU Report
621,2015-07-24,2015,July,Navotas,Navotas East,14.6564,120.94,Very High,3.08,House-roof level,85,270.6,Scattered Showers,None (Monsoon),None,1899,349,479,Navotas Sports Complex,0,6,8395401,None,Yes,11.7,LGU Report
622,2014-06-27,2014,June,Navotas,Navotas West,14.6566,120.93849999999999,Very High,1.99,Neck-deep,108,330.5,Heavy Rain,None (Monsoon),None,5592,1567,1825,Bangculasi Elementary School,0,10,13057062,Homes,No,4.3,DSWD
623,2008-05-08,2008,May,Navotas,North Bay Blvd South,14.653,120.9373,High,2.33,House-roof level,62,327.8,Typhoon,None (Monsoon),None,6829,1456,1472,Bangculasi Elementary School,0,11,27079643,Roads,Yes,18.4,DSWD
624,2004-11-02,2004,November,Valenzuela,Bisig,14.7004,120.9786,Very High,2.18,House-roof level,80,254.9,Monsoon Rains,None (Monsoon),None,4930,1385,1332,Valenzuela National High School Gym,0,18,21534567,Roads,Yes,7.8,MMDA
625,2015-07-11,2015,July,Valenzuela,Lawang Bato,14.7049,120.9763,Very High,2.33,House-roof level,54,403.2,Continuous Rain,Ulysses,Signal No. 2,3973,1046,596,Bisig Elementary School,0,23,9159566,Homes,Yes,11.7,PAGASA
626,2004-06-24,2004,June,Valenzuela,Lingunan,14.7071,120.9817,High,1.57,Neck-deep,93,317.4,Continuous Rain,None (Monsoon),None,3428,643,801,Valenzuela City Gymnasium,0,10,10904327,Homes,No,14.5,DSWD
627,2003-03-20,2003,March,Valenzuela,Punturin,14.7125,120.9839,High,1.24,Chest-deep,91,404.2,Scattered Showers,Queenie,Signal No. 3,6265,1762,1838,Lawang Bato Covered Court,0,8,16675115,Roads,Yes,3.7,MMDA
628,2001-12-25,2001,December,Valenzuela,Parada,14.6987,120.9801,High,0.87,Waist-deep,61,220.3,Heavy Rain,Marce,Signal No. 4,960,199,148,Lawang Bato Covered Court,0,6,717466,Roads,No,19.4,PAGASA
629,2004-07-19,2004,July,Marikina,Tumana,14.655899999999999,121.1047,Very High,3.12,House-roof level,115,101.5,Heavy Rain,Tisoy,Signal No. 4,6782,1774,2659,Marikina City Hall Gymnasium,0,27,43223613,None,Yes,14.7,LGU Report
630,2022-07-09,2022,July,Marikina,Calumpang,14.6475,121.1043,Very High,1.99,Neck-deep,133,195.9,Typhoon,None (Monsoon),None,6032,1319,1511,Concepcion National High School,0,2,9612240,Bridges and Roads,No,5.1,DSWD
631,2020-05-29,2020,May,Marikina,Concepcion Dos,14.6602,121.1084,Very High,2.24,House-roof level,130,234.1,Scattered Showers,Quedan,Signal No. 3,2507,478,406,Marikina City Hall Gymnasium,0,9,11420425,Homes,No,10.3,LGU Report
632,2014-07-24,2014,July,Marikina,Industrial Valley,14.653699999999999,121.1122,High,1.1,Chest-deep,10,262.5,Monsoon Rains,Pepito,Signal No. 1,5080,1023,531,Marikina Sports Center,0,2,10916576,Homes,No,23.3,DSWD
633,2010-12-13,2010,December,Marikina,Nangka,14.6696,121.10719999999999,High,2.78,House-roof level,73,199.1,Typhoon,Ursula,Signal No. 1,4861,1330,879,Concepcion National High School,2,23,14918613,None,No,17.5,NDRRMC
634,2019-06-11,2019,June,Marikina,Fortune,14.6718,121.1105,High,2.91,House-roof level,30,255.6,Continuous Rain,None (Monsoon),None,4876,1187,670,Marikina Sports Center,0,24,33641881,Bridges,No,12.3,NDRRMC
635,2017-11-18,2017,November,Pasig,Pinagbuhatan,14.560599999999999,121.10239999999999,Very High,4.14,House-roof level,84,362.8,Scattered Showers,None (Monsoon),None,2433,621,368,Pinagbuhatan Covered Court,0,40,11445707,Homes,Yes,2.0,PAGASA
636,2020-08-30,2020,August,Pasig,Bambang,14.5582,121.0987,Very High,2.85,House-roof level,164,273.1,Typhoon,Tonyo,Signal No. 3,2893,649,903,Bambang Elementary School,0,6,12899221,Roads and Homes,Yes,16.0,DSWD
637,2003-07-11,2003,July,Pasig,Ugong,14.564200000000001,121.0711,High,2.0,House-roof level,77,261.8,Typhoon,Tonyo,Signal No. 4,3028,606,297,Pasig City Hall Gymnasium,0,18,5047485,Roads,No,13.6,LGU Report
638,2010-07-12,2010,July,Pasig,Dela Paz,14.5739,121.08330000000001,High,1.31,Chest-deep,74,99.4,Monsoon Rains,Queenie,Signal No. 1,1278,236,208,Pinagbuhatan Covered Court,0,2,3733064,Roads and Homes,No,8.8,MMDA
639,2018-10-04,2018,October,Pasig,Palatiw,14.562800000000001,121.1008,High,2.73,House-roof level,41,315.7,Scattered Showers,None (Monsoon),None,2816,591,702,Ugong Elementary School,0,27,10054962,Roads and Homes,Yes,22.2,MMDA
640,2017-12-11,2017,December,Quezon City,Batasan Hills,14.6889,121.1128,High,1.08,Chest-deep,74,118.9,Typhoon,None (Monsoon),None,6998,1580,1074,QC Sports Club,0,10,10098784,Roads,Yes,3.8,DSWD
641,2022-07-31,2022,July,Quezon City,Commonwealth,14.681000000000001,121.1089,High,3.0,House-roof level,82,180.0,Heavy Rain,Quedan,Signal No. 4,4874,904,1174,Commonwealth Elementary School,5,28,30410246,Bridges,Yes,11.3,MMDA
642,2007-11-10,2007,November,Quezon City,Payatas,14.7234,121.117,High,1.57,Neck-deep,31,62.4,Monsoon Rains,Nonoy,Signal No. 2,2843,783,310,Payatas Elementary School Covered Court,0,5,10916007,Bridges and Roads,No,21.0,MMDA
643,2010-12-25,2010,December,Quezon City,Bagong Silangan,14.7013,121.1316,Moderate,0.75,Waist-deep,6,212.5,Heavy Rain,Nonoy,Signal No. 4,256,52,30,Payatas Elementary School Covered Court,0,4,435209,Bridges and Roads,Yes,10.8,NDRRMC
644,2013-02-20,2013,February,Quezon City,Novaliches Proper,14.7338,121.02289999999999,Moderate,1.24,Chest-deep,48,421.0,Typhoon,None (Monsoon),None,6497,1511,226,Payatas Elementary School Covered Court,0,12,6027013,Bridges and Roads,Yes,17.5,PAGASA
645,2018-07-09,2018,July,Manila,Tondo,14.6189,120.96780000000001,Very High,3.13,House-roof level,48,155.8,Typhoon,Ursula,Signal No. 1,7679,1719,1711,Manila City Hall Gymnasium,0,21,26212484,None,No,13.9,DSWD
646,2001-08-08,2001,August,Manila,Binondo,14.5993,120.9735,High,2.36,House-roof level,24,198.3,Continuous Rain,Rolly,Signal No. 3,4474,1134,641,Binondo Elementary School,0,15,20337605,None,Yes,3.9,PAGASA
647,2017-03-27,2017,March,Manila,Pandacan,14.5878,121.0045,Very High,1.53,Neck-deep,70,109.3,Typhoon,Tonyo,Signal No. 4,429,91,173,Binondo Elementary School,0,11,1173394,Bridges and Roads,No,9.4,LGU Report
648,2007-08-02,2007,August,Manila,Sta. Ana,14.5737,121.00829999999999,High,2.65,House-roof level,67,317.5,Continuous Rain,Queenie,Signal No. 3,1636,384,305,Pandacan Elementary School,5,24,8486647,Roads and Homes,No,13.9,NDRRMC
649,2023-07-06,2023,July,Manila,San Andres Bukid,14.580300000000001,120.99900000000001,High,2.72,House-roof level,31,89.5,Monsoon Rains,Ulysses,Signal No. 3,3178,739,718,Binondo Elementary School,0,2,21099309,Bridges,Yes,6.5,MMDA
650,2010-12-29,2010,December,Caloocan,Bagong Barrio,14.6707,120.988,High,0.92,Waist-deep,64,270.8,Continuous Rain,Queenie,Signal No. 1,1653,350,146,Baesa National High School,0,4,945502,Bridges and Roads,No,11.4,DSWD
651,2002-04-16,2002,April,Caloocan,Grace Park,14.659099999999999,120.9841,High,1.16,Chest-deep,87,83.4,Monsoon Rains,Kiko,Signal No. 2,798,213,98,Camarin Elementary School,0,4,1516873,Roads,No,18.8,MMDA
652,2020-06-19,2020,June,Caloocan,Camarin,14.734200000000001,121.0127,Moderate,1.49,Chest-deep,18,302.5,Scattered Showers,Nonoy,Signal No. 3,6381,1578,503,Bagong Barrio Covered Court,0,13,14873640,Bridges and Roads,No,15.2,NDRRMC
653,2008-03-03,2008,March,Caloocan,Baesa,14.6915,121.0007,High,1.62,Neck-deep,46,115.3,Heavy Rain,Marce,Signal No. 3,7518,1692,2212,Camarin Elementary School,0,5,10805241,Homes,No,8.0,DSWD
654,2021-03-02,2021,March,Parañaque,BF Homes,14.4887,121.0133,Moderate,0.24,Knee-deep,21,111.8,Continuous Rain,Marce,Signal No. 2,7798,1679,804,Parañaque National High School,0,2,1523913,None,No,18.8,PAGASA
655,2010-04-05,2010,April,Parañaque,La Huerta,14.4939,120.9979,Moderate,1.41,Chest-deep,32,108.0,Typhoon,Tonyo,Signal No. 3,7854,1912,1042,La Huerta Elementary School,0,6,18012895,Roads and Homes,Yes,23.3,PAGASA
656,2006-04-11,2006,April,Parañaque,Baclaran,14.524000000000001,120.998,High,2.93,House-roof level,41,314.8,Scattered Showers,Tonyo,Signal No. 1,359,91,93,BF Homes Covered Court,0,17,2080634,Roads and Homes,No,3.0,MMDA
657,2007-03-13,2007,March,Las Piñas,Almanza Dos,14.4625,120.9814,Moderate,0.56,Waist-deep,32,438.5,Typhoon,Tisoy,Signal No. 4,7912,1782,922,Las Piñas City Hall Gymnasium,0,2,10960973,Roads,No,7.0,PAGASA
658,2019-08-27,2019,August,Las Piñas,Pulang Lupa Dos,14.468499999999999,120.975,Moderate,1.39,Chest-deep,9,179.8,Typhoon,None (Monsoon),None,4065,813,187,Las Piñas City Hall Gymnasium,0,13,4525021,Roads,No,6.3,DSWD
659,2024-07-08,2024,July,Muntinlupa,Tunasan,14.3898,121.0309,Moderate,1.17,Chest-deep,18,58.7,Heavy Rain,None (Monsoon),None,4760,1165,446,Alabang Covered Court,0,11,11016526,Roads and Homes,Yes,4.8,LGU Report
660,2010-03-19,2010,March,Muntinlupa,Alabang,14.4255,121.0429,Low,0.26,Knee-deep,6,152.1,Heavy Rain,None (Monsoon),None,1830,372,67,Muntinlupa City Hall Gymnasium,0,0,849055,Roads,Yes,22.0,DSWD
661,2016-10-02,2016,October,Taguig,Ususan,14.509500000000001,121.0635,High,0.34,Knee-deep,61,180.8,Heavy Rain,Rolly,Signal No. 3,462,88,134,Taguig City University Gymnasium,0,0,384603,Bridges and Roads,Yes,14.0,LGU Report
662,2008-07-24,2008,July,Taguig,Pinagsama,14.5247,121.05879999999999,Moderate,1.15,Chest-deep,45,405.7,Continuous Rain,None (Monsoon),None,3730,841,477,Lower Bicutan Covered Court,0,1,3703329,None,No,21.4,LGU Report
663,2013-03-06,2013,March,Taguig,Lower Bicutan,14.5128,121.05510000000001,Moderate,0.11,Knee-deep,26,110.2,Monsoon Rains,None (Monsoon),None,354,85,10,Lower Bicutan Covered Court,0,1,70373,Homes,Yes,4.9,MMDA
664,2009-03-31,2009,March,Malabon,Longos,14.6625,120.9586,Very High,1.73,Neck-deep,37,65.8,Scattered Showers,Tonyo,Signal No. 1,414,76,128,Catmon Covered Court,0,6,647035,Bridges,Yes,18.7,NDRRMC
665,2006-02-27,2006,February,Malabon,Panghulo,14.6683,120.95830000000001,Very High,4.01,House-roof level,124,227.6,Continuous Rain,None (Monsoon),None,1208,284,483,Panghulo Elementary School,4,25,4346474,Roads,Yes,23.3,DSWD
666,2023-03-03,2023,March,Malabon,Tañong,14.6597,120.956,Very High,0.99,Waist-deep,65,193.4,Typhoon,None (Monsoon),None,1185,237,512,Longos Elementary School,0,3,2898037,Homes,Yes,22.7,NDRRMC
667,2000-04-28,2000,April,Malabon,Catmon,14.661,120.9553,Very High,2.02,House-roof level,119,194.2,Scattered Showers,Ulysses,Signal No. 4,3479,940,1525,Longos Elementary School,0,2,12655724,Roads,No,17.6,PAGASA
668,2002-01-13,2002,January,Malabon,Hulong Duhat,14.6624,120.95609999999999,High,0.68,Waist-deep,37,112.3,Heavy Rain,None (Monsoon),None,1652,439,337,Malabon City Hall Covered Court,0,4,2364403,Homes,No,19.8,LGU Report
669,2007-09-25,2007,September,Malabon,Acacia,14.6639,120.957,High,0.77,Waist-deep,72,122.6,Heavy Rain,None (Monsoon),None,1440,281,350,Longos Elementary School,0,0,1657778,Homes,No,1.2,NDRRMC
670,2014-11-15,2014,November,Navotas,Bangculasi,14.6611,120.94149999999999,Very High,0.61,Waist-deep,132,213.1,Continuous Rain,Quedan,Signal No. 2,480,126,177,Navotas Sports Complex,0,0,350579,Roads,Yes,23.3,LGU Report
671,2018-08-14,2018,August,Navotas,Daanghari,14.6583,120.9443,Very High,3.92,House-roof level,149,304.7,Continuous Rain,Nonoy,Signal No. 3,3807,808,724,Navotas City Hall Gymnasium,0,39,27412328,Bridges and Roads,Yes,3.5,DSWD
672,2005-10-27,2005,October,Navotas,Navotas East,14.6572,120.941,Very High,3.72,House-roof level,48,336.9,Continuous Rain,Quedan,Signal No. 1,2047,410,711,Bangculasi Elementary School,3,21,14627505,Bridges and Roads,No,18.4,MMDA
673,2014-09-17,2014,September,Navotas,Navotas West,14.6549,120.9397,Very High,2.19,House-roof level,49,349.2,Heavy Rain,None (Monsoon),None,4946,950,1834,Bangculasi Elementary School,0,0,8512761,Bridges,No,8.1,DSWD
674,2021-07-26,2021,July,Navotas,North Bay Blvd South,14.6533,120.9375,High,1.61,Neck-deep,50,280.9,Monsoon Rains,Queenie,Signal No. 4,1738,338,379,Navotas City Hall Gymnasium,0,3,5568156,Homes,No,23.9,MMDA
675,2011-06-14,2011,June,Valenzuela,Bisig,14.7004,120.9784,Very High,1.86,Neck-deep,136,317.2,Heavy Rain,Kiko,Signal No. 3,6524,1351,2052,Lawang Bato Covered Court,0,0,29481194,Roads and Homes,Yes,3.3,PAGASA
676,2005-08-31,2005,August,Valenzuela,Lawang Bato,14.7052,120.975,Very High,3.99,House-roof level,90,83.2,Monsoon Rains,None (Monsoon),None,3907,714,1097,Bisig Elementary School,0,32,13870343,Roads,Yes,17.7,PAGASA
677,2023-07-30,2023,July,Valenzuela,Lingunan,14.7085,120.9807,High,1.92,Neck-deep,25,370.1,Scattered Showers,Queenie,Signal No. 2,4811,1057,1295,Bisig Elementary School,0,5,16347990,None,Yes,13.2,DSWD
678,2019-01-08,2019,January,Valenzuela,Punturin,14.7118,120.9835,High,2.62,House-roof level,41,168.6,Typhoon,None (Monsoon),None,600,111,174,Lingunan Elementary School,0,9,787111,Homes,Yes,22.2,DSWD
679,2002-12-30,2002,December,Valenzuela,Parada,14.6987,120.97949999999999,High,0.46,Knee-deep,58,355.8,Continuous Rain,None (Monsoon),None,1349,262,150,Lingunan Elementary School,0,1,1112112,Homes,Yes,5.8,PAGASA
680,2006-04-19,2006,April,Marikina,Tumana,14.6566,121.1051,Very High,4.07,House-roof level,43,110.7,Scattered Showers,Tisoy,Signal No. 3,6147,1140,2286,Marikina Sports Center,0,33,17643509,None,No,7.5,NDRRMC
681,2024-04-11,2024,April,Marikina,Calumpang,14.6486,121.10379999999999,Very High,3.47,House-roof level,128,414.2,Typhoon,Rolly,Signal No. 1,1458,267,249,Calumpang Elementary School,4,27,8448747,Roads and Homes,No,5.8,NDRRMC
682,2003-12-22,2003,December,Marikina,Concepcion Dos,14.6617,121.1097,Very High,4.49,House-roof level,166,390.0,Typhoon,Ursula,Signal No. 4,5107,1282,2091,Marikina Sports Center,0,17,50094963,None,No,10.4,PAGASA
683,2015-12-31,2015,December,Marikina,Industrial Valley,14.6535,121.11250000000001,High,0.52,Waist-deep,18,248.0,Heavy Rain,Tisoy,Signal No. 3,6041,1515,1554,Marikina City Hall Gymnasium,0,4,5381964,None,No,1.5,NDRRMC
684,2004-06-03,2004,June,Marikina,Nangka,14.6699,121.1078,High,1.85,Neck-deep,21,333.7,Typhoon,None (Monsoon),None,6458,1385,855,Marikina Sports Center,0,14,26337417,Roads and Homes,No,16.2,NDRRMC
685,2009-09-09,2009,September,Marikina,Fortune,14.6732,121.1097,High,1.83,Neck-deep,9,418.3,Typhoon,None (Monsoon),None,5365,1450,1545,Calumpang Elementary School,0,11,11828243,Roads,No,11.3,PAGASA
686,2007-03-16,2007,March,Pasig,Pinagbuhatan,14.5613,121.104,Very High,1.34,Chest-deep,152,189.4,Typhoon,None (Monsoon),None,5510,1280,1358,Pasig City Hall Gymnasium,0,5,8886729,Bridges,No,20.0,NDRRMC
687,2004-01-21,2004,January,Pasig,Bambang,14.5582,121.0979,Very High,3.06,House-roof level,92,203.1,Scattered Showers,Ursula,Signal No. 4,5293,1366,1583,Pinagbuhatan Covered Court,0,24,13255843,Bridges,No,21.9,DSWD
688,2013-04-15,2013,April,Pasig,Ugong,14.5638,121.071,High,2.34,House-roof level,74,129.4,Scattered Showers,Quedan,Signal No. 4,1657,338,277,Bambang Elementary School,0,17,4682321,None,No,14.9,NDRRMC
689,2014-07-11,2014,July,Pasig,Dela Paz,14.5724,121.0818,High,3.0,House-roof level,62,317.0,Continuous Rain,Nonoy,Signal No. 2,6967,1515,619,Bambang Elementary School,0,25,19478398,Roads,No,20.2,LGU Report
690,2024-12-14,2024,December,Pasig,Palatiw,14.5618,121.10090000000001,High,1.79,Neck-deep,78,282.4,Typhoon,None (Monsoon),None,1774,341,302,Pinagbuhatan Covered Court,0,11,6690224,Bridges,No,13.2,NDRRMC
691,2006-01-12,2006,January,Quezon City,Batasan Hills,14.6897,121.1136,High,1.17,Chest-deep,95,88.6,Monsoon Rains,None (Monsoon),None,2222,477,566,Payatas Elementary School Covered Court,0,8,2929827,None,No,17.4,DSWD
692,2010-01-17,2010,January,Quezon City,Commonwealth,14.6812,121.1093,High,1.56,Neck-deep,79,248.9,Monsoon Rains,Pepito,Signal No. 1,7053,1488,646,Payatas Elementary School Covered Court,0,1,25214657,Roads,No,2.0,PAGASA
693,2011-04-21,2011,April,Quezon City,Payatas,14.724,121.1178,High,2.86,House-roof level,9,355.7,Typhoon,Marce,Signal No. 2,6045,1385,1278,Commonwealth Elementary School,0,10,16685820,Roads and Homes,Yes,18.5,DSWD
694,2014-02-08,2014,February,Quezon City,Bagong Silangan,14.7005,121.1306,Moderate,1.31,Chest-deep,41,97.9,Monsoon Rains,None (Monsoon),None,633,150,73,Quezon City Reception Area,0,8,1100738,Bridges and Roads,Yes,20.1,NDRRMC
695,2022-03-15,2022,March,Quezon City,Novaliches Proper,14.7352,121.02279999999999,Moderate,1.12,Chest-deep,23,330.4,Typhoon,None (Monsoon),None,929,215,38,Payatas Elementary School Covered Court,0,11,1507463,Homes,No,4.7,LGU Report
696,2011-04-21,2011,April,Manila,Tondo,14.6198,120.9663,Very High,2.5,House-roof level,59,444.3,Scattered Showers,None (Monsoon),None,2334,590,631,Manila City Hall Gymnasium,0,16,5925650,Bridges and Roads,Yes,16.5,NDRRMC
697,2007-07-23,2007,July,Manila,Binondo,14.5984,120.9744,High,0.3,Knee-deep,73,61.1,Monsoon Rains,None (Monsoon),None,303,70,24,Sta. Ana Covered Court,0,0,219198,Bridges,Yes,23.4,NDRRMC
698,2006-12-09,2006,December,Manila,Pandacan,14.5885,121.0051,Very High,2.9,House-roof level,158,401.9,Heavy Rain,Pepito,Signal No. 4,1649,335,688,Binondo Elementary School,5,28,11553853,Homes,No,3.0,MMDA
699,2023-04-04,2023,April,Manila,Sta. Ana,14.574200000000001,121.0084,High,0.75,Waist-deep,18,295.3,Typhoon,Nonoy,Signal No. 4,4276,1122,523,Tondo Sports Complex,0,1,3773638,Roads and Homes,Yes,19.2,NDRRMC
700,2016-01-27,2016,January,Manila,San Andres Bukid,14.5813,120.9987,High,0.46,Knee-deep,67,351.8,Scattered Showers,Kiko,Signal No. 1,6842,1419,1817,Binondo Elementary School,0,4,5193624,Bridges and Roads,Yes,7.1,MMDA
701,2020-02-03,2020,February,Caloocan,Bagong Barrio,14.6722,120.9883,High,2.36,House-roof level,43,200.8,Scattered Showers,Nonoy,Signal No. 1,7935,1841,1728,Baesa National High School,0,12,20820143,None,Yes,12.9,NDRRMC
702,2008-06-08,2008,June,Caloocan,Grace Park,14.659799999999999,120.9825,High,2.86,House-roof level,45,267.1,Heavy Rain,None (Monsoon),None,7508,1416,1570,Baesa National High School,3,12,18820507,None,No,17.9,DSWD
703,2007-12-31,2007,December,Caloocan,Camarin,14.7348,121.01129999999999,Moderate,0.81,Waist-deep,45,232.9,Heavy Rain,Queenie,Signal No. 3,5927,1508,209,Grace Park Elementary School,0,7,4385469,Roads and Homes,Yes,21.7,NDRRMC
704,2013-01-10,2013,January,Caloocan,Baesa,14.6916,121.0007,High,0.31,Knee-deep,36,443.8,Continuous Rain,None (Monsoon),None,5603,1085,1451,Bagong Barrio Covered Court,0,3,1023943,None,No,21.2,LGU Report
705,2013-11-22,2013,November,Parañaque,BF Homes,14.4878,121.0125,Moderate,0.39,Knee-deep,43,54.1,Typhoon,None (Monsoon),None,6234,1443,870,La Huerta Elementary School,0,1,5186969,None,No,1.5,LGU Report
706,2005-10-12,2005,October,Parañaque,La Huerta,14.4938,120.9985,Moderate,1.03,Chest-deep,16,410.9,Continuous Rain,Pepito,Signal No. 3,777,208,82,La Huerta Elementary School,0,10,1544635,Homes,No,20.6,PAGASA
707,2004-11-12,2004,November,Parañaque,Baclaran,14.5226,120.9973,High,2.35,House-roof level,56,84.6,Continuous Rain,None (Monsoon),None,6941,1777,1907,Baclaran Elementary School,0,1,23454318,Roads and Homes,Yes,2.5,NDRRMC
708,2010-11-04,2010,November,Las Piñas,Almanza Dos,14.461400000000001,120.98129999999999,Moderate,0.71,Waist-deep,25,357.7,Monsoon Rains,None (Monsoon),None,3788,864,449,Las Piñas City Hall Gymnasium,0,3,5244002,Bridges,No,20.7,PAGASA
709,2007-11-15,2007,November,Las Piñas,Pulang Lupa Dos,14.4693,120.9747,Moderate,0.59,Waist-deep,14,111.2,Continuous Rain,Ulysses,Signal No. 2,7585,1771,813,Pulang Lupa Covered Court,0,1,5243878,Roads and Homes,Yes,20.3,DSWD
710,2023-09-16,2023,September,Muntinlupa,Tunasan,14.388499999999999,121.0303,Moderate,0.5,Waist-deep,12,94.5,Monsoon Rains,Kiko,Signal No. 1,1374,332,131,Alabang Covered Court,0,1,1338385,Roads,Yes,0.6,NDRRMC
711,2002-08-15,2002,August,Muntinlupa,Alabang,14.425799999999999,121.0422,Low,0.42,Knee-deep,10,64.1,Monsoon Rains,Ondoy,Signal No. 4,1180,234,52,Alabang Covered Court,0,3,527782,None,Yes,16.5,DSWD
712,2011-03-20,2011,March,Taguig,Ususan,14.5082,121.0643,High,1.23,Chest-deep,87,231.7,Continuous Rain,None (Monsoon),None,3927,741,728,Ususan Elementary School,0,4,8569693,Homes,Yes,9.1,NDRRMC
713,2019-05-14,2019,May,Taguig,Pinagsama,14.5243,121.0594,Moderate,1.23,Chest-deep,11,266.6,Scattered Showers,Marce,Signal No. 2,548,111,46,Ususan Elementary School,0,6,904751,Roads and Homes,No,11.4,PAGASA
714,2014-08-16,2014,August,Taguig,Lower Bicutan,14.5128,121.05380000000001,Moderate,1.03,Chest-deep,10,335.0,Typhoon,Ursula,Signal No. 3,6125,1534,573,Pinagsama Covered Court,0,5,11280045,Roads,No,7.6,DSWD
715,2018-06-27,2018,June,Malabon,Longos,14.6625,120.9586,Very High,0.7,Waist-deep,67,203.7,Heavy Rain,Pepito,Signal No. 4,2966,777,935,Longos Elementary School,0,6,3394142,None,Yes,15.6,DSWD
716,2008-11-14,2008,November,Malabon,Panghulo,14.6686,120.9588,Very High,1.1,Chest-deep,93,355.0,Heavy Rain,Quedan,Signal No. 1,4038,811,903,Malabon City Hall Covered Court,0,1,2411595,Homes,Yes,7.9,PAGASA
717,2009-02-08,2009,February,Malabon,Tañong,14.6584,120.95609999999999,Very High,3.47,House-roof level,66,413.7,Scattered Showers,Nonoy,Signal No. 4,2719,643,1093,Longos Elementary School,1,10,21715756,Bridges and Roads,No,4.2,DSWD
